FOR: https://www.dorothyperkins.com/, womens, swimwear
SUCCESS crawl PLP: /womens/swimwear at https://www.dorothyperkins.com
SUCCESS crawl PDP: /black-frill-top-co-ord/AQQ03546.html
SUCCESS crawl PDP: /white-frill-bandeau-bikini-top-/AQQ42429.html
SUCCESS crawl PDP: /black-bandeau-frill-bikini-top/AQQ06258.html
SUCCESS crawl PDP: /yellow-bandeau-bikini-top/AQQ06257.html
SUCCESS crawl PDP: /white-bandeau-bikini-top/AQQ06323.html
SUCCESS crawl PDP: /black-plunge-bikini-top/AQQ06259.html
SUCCESS crawl PDP: /blk-hook-and-eye-bikini-top/AQQ06256.html
SUCCESS crawl PDP: /white-frill-triangle-bikini-top/AQQ06260.html
SUCCESS crawl PDP: /curve-black-halter-neck-swimsuit-/AQQ05486.html
SUCCESS crawl PDP: /navy-floral-print-tie-bikini-bottoms/AQQ15595.html
SUCCESS crawl PDP: /ivory-tropical-print-foldover-brief/AQQ16036.html
SUCCESS crawl PDP: /paisley-brief/AQQ15706.html
SUCCESS crawl PDP: /monochrome-midrise-bikini-brief--/AQQ15588.html
SUCCESS crawl PDP: /black-floral-print-tie-brief/AQQ36711.html
SUCCESS crawl PDP: /petite-orange-tropical-print-swimsuit/AQQ14731.html
SUCCESS crawl PDP: /blue-low-rise-bikini-bottoms/AQQ12809.html
SUCCESS crawl PDP: /ivory-beach-bikini-top/AQQ12825.html
SUCCESS crawl PDP: /pink-low-rise-bikini-bottoms/AQQ12828.html
SUCCESS crawl PDP: /black-crochet-tie-brief/AQQ12810.html
SUCCESS crawl PDP: /petite-puple-floral-highwaisted-brief/AQQ09103.html
SUCCESS crawl PDP: /beach-black-built-up-bikini-set/AQQ12824.html
SUCCESS crawl PDP: /gold-beaded-tie-brief-/AQQ12837.html
SUCCESS crawl PDP: /pineapple-print-low-rise-bikini-bottoms/AQQ12827.html
SUCCESS crawl PDP: /khaki-spot-print-tankini-top/AQQ12767.html
SUCCESS crawl PDP: /red-midrise-bikini-briefs/AQQ12823.html
SUCCESS crawl PDP: /rust-polka-dot-bikini-bottoms/AQQ12840.html
SUCCESS crawl PDP: /green-spot-print-midrise-brief/AQQ12816.html
SUCCESS crawl PDP: /black-tankini-top/AQQ12768.html
SUCCESS crawl PDP: /turquoise-parrot-tie-breif-/AQQ12808.html
SUCCESS crawl PDP: /multi-colour-leopard-print-lace-swimsuit/AQQ12806.html
SUCCESS crawl PDP: /black-mid-rise-bikini-briefs-/AQQ12838.html
SUCCESS crawl PDP: /curve-black-strapless-spot-swimsuit/AQQ05491.html
SUCCESS crawl PDP: /brodierie-sun-dress/AQQ05039-1.html
SUCCESS crawl PDP: /brodierie-sun-dress/AQQ05039-2.html
SUCCESS crawl PDP: /pink-and-white-spot-bikini-brief/AQQ02476.html
SUCCESS crawl PDP: /white-frill-triangle-brief/AQQ02473.html
SUCCESS crawl PDP: /yellow-bikini-brief-/AQQ02480.html
SUCCESS crawl PDP: /black-hook-and-eye-bikini-brief/AQQ02482.html
SUCCESS crawl PDP: /mono-spot-bikini-brief/AQQ02764.html
SUCCESS crawl PDP: /pink-and-white-spot-frill-bikini-brief/AQQ04851.html
SUCCESS crawl PDP: /red-and-white-heart-frill-bikini-brief/AQQ02481.html
SUCCESS crawl PDP: /pink-lace-drawstring-cover-up/AQQ03554.html
SUCCESS crawl PDP: /black-tassle-kimono/AQQ02472.html
SUCCESS crawl PDP: /red-bandeau-swimsuit/AQQ02474-3.html
SUCCESS crawl PDP: /tort-ring-black-swimsuit/AQQ02468.html
SUCCESS crawl PDP: /black-frill-brief/AQQ02475.html
SUCCESS crawl PDP: /floral-cover-up/AQQ03560.html
SUCCESS crawl PDP: /mono-spot-bandeau-swimsuit/AQQ02478.html
SUCCESS crawl PDP: /white-bikini-brief-/AQQ02470.html
SUCCESS crawl PDP: /black-strap-bikini-top/AQQ15601.html
SUCCESS crawl PDP: /blacktie-detail-bikini-brief/AQQ15270.html
SUCCESS crawl PDP: /navy-bandeau-swimsuit/AQQ13122.html
SUCCESS crawl PDP: /blacktie-detail-bikini-top/AQQ13278.html
SUCCESS crawl PDP: /white-v-neck-maxi-dress/AQQ02479.html
SUCCESS crawl PDP: /maternity-black-swimsuit/AQQ13454.html
SUCCESS crawl PDP: /ivory-spot-print-belted-swimsuit/AQQ12826.html
SUCCESS crawl PDP: /tall-black-tortoise-ring-swimsuit/AQQ15860.html
SUCCESS crawl PDP: /lemon-textured-bikini-brief/AQQ12766.html
SUCCESS crawl PDP: /lemon-textured-bikini-top/AQQ12772.html
SUCCESS crawl PDP: /maternity-black-spot-print-swimsuit/AQQ13462.html
SUCCESS crawl PDP: /navy-geo-tropical-print-swimsuit/AQQ12839.html
SUCCESS crawl PDP: /tall-black-front-knot-swimsuit/AQQ12700.html
SUCCESS crawl PDP: /white-beach-cover-up/AQQ12817.html
SUCCESS crawl PDP: /black-beach-cover-up/AQQ12774.html
SUCCESS crawl PDP: /cobalt-fold-over-bikini-brief/AQQ15600.html
SUCCESS crawl PDP: /cobalt-push-up-bikini-top/AQQ12841.html
Entering crawl delay - this will ony be a short while!
